"GEO_ID","id"
"NAME","Geographic Area Name"
"S0501_C01_001E","Estimate!!Total!!Total population"
"S0501_C01_001M","Margin of Error!!Total!!Total population"
"S0501_C01_002E","Estimate!!Total!!Total population!!SEX AND AGE!!Male"
"S0501_C01_002M","Margin of Error!!Total!!Total population!!SEX AND AGE!!Male"
"S0501_C01_003E","Estimate!!Total!!Total population!!SEX AND AGE!!Female"
"S0501_C01_003M","Margin of Error!!Total!!Total population!!SEX AND AGE!!Female"
"S0501_C01_004E","Estimate!!Total!!Total population!!SEX AND AGE!!Under 5 years"
"S0501_C01_004M","Margin of Error!!Total!!Total population!!SEX AND AGE!!Under 5 years"
"S0501_C01_005E","Estimate!!Total!!Total population!!SEX AND AGE!!5 to 17 years"
"S0501_C01_005M","Margin of Error!!Total!!Total population!!SEX AND AGE!!5 to 17 years"
"S0501_C01_006E","Estimate!!Total!!Total population!!SEX AND AGE!!18 to 24 years"
"S0501_C01_006M","Margin of Error!!Total!!Total population!!SEX AND AGE!!18 to 24 years"
"S0501_C01_007E","Estimate!!Total!!Total population!!SEX AND AGE!!25 to 44 years"
"S0501_C01_007M","Margin of Error!!Total!!Total population!!SEX AND AGE!!25 to 44 years"
"S0501_C01_008E","Estimate!!Total!!Total population!!SEX AND AGE!!45 to 54 years"
"S0501_C01_008M","Margin of Error!!Total!!Total population!!SEX AND AGE!!45 to 54 years"
"S0501_C01_009E","Estimate!!Total!!Total population!!SEX AND AGE!!55 to 64 years"
"S0501_C01_009M","Margin of Error!!Total!!Total population!!SEX AND AGE!!55 to 64 years"
"S0501_C01_010E","Estimate!!Total!!Total population!!SEX AND AGE!!65 to 74 years"
"S0501_C01_010M","Margin of Error!!Total!!Total population!!SEX AND AGE!!65 to 74 years"
"S0501_C01_011E","Estimate!!Total!!Total population!!SEX AND AGE!!75 to 84 years"
"S0501_C01_011M","Margin of Error!!Total!!Total population!!SEX AND AGE!!75 to 84 years"
"S0501_C01_012E","Estimate!!Total!!Total population!!SEX AND AGE!!85 years and over"
